6
runoff 1
basin_cfs 1
basin_ssflow_cfs 1
basin_gwflow_cfs 1
basin_sroff_cfs 1
basin_dunnian 1
79 1982 12 18 0 0 0   6.200E+00  9.413E+00  7.314E+00 -2.048E+00  5.056E-02  1.772E-04
80 1982 12 19 0 0 0   6.200E+00  1.008E+01  7.865E+00 -1.947E+00  2.662E-01  9.328E-04
81 1982 12 20 0 0 0   8.200E+00  3.281E+01  2.870E+01 -2.113E+00  1.991E+00  6.916E-03
82 1982 12 21 0 0 0   1.200E+01  1.995E+02  6.303E+01 -2.054E+00  1.345E+02  9.464E-03
83 1982 12 22 0 0 0   8.900E+00  1.892E+01  1.640E+01 -2.440E+00  7.921E-02  2.378E-04
84 1982 12 23 0 0 0   8.300E+00  1.619E+01  1.350E+01 -2.310E+00  3.822E-01  1.334E-03
85 1982 12 24 0 0 0   8.100E+00  1.500E+01  1.252E+01 -2.193E+00  2.948E-01  1.033E-03
86 1982 12 25 0 0 0   8.100E+00  1.450E+01  1.201E+01 -2.099E+00  3.897E-01  1.366E-03
87 1982 12 26 0 0 0   7.600E+00  1.347E+01  1.100E+01 -2.025E+00  4.447E-01  1.559E-03
88 1982 12 27 0 0 0   7.400E+00  1.275E+01  1.034E+01 -1.967E+00  4.434E-01  1.554E-03
89 1982 12 28 0 0 0   7.100E+00  1.204E+01  9.690E+00 -1.921E+00  4.313E-01  1.511E-03
90 1982 12 29 0 0 0   7.000E+00  1.138E+01  9.073E+00 -1.883E+00  4.229E-01  1.482E-03
91 1982 12 30 0 0 0   7.000E+00  1.082E+01  8.550E+00 -1.852E+00  4.153E-01  1.455E-03
92 1982 12 31 0 0 0   6.900E+00  1.041E+01  8.171E+00 -1.826E+00  4.089E-01  1.433E-03
93 1983 1 1 0 0 0   6.900E+00  9.960E+00  7.753E+00 -1.804E+00  4.023E-01  1.410E-03
94 1983 1 2 0 0 0   6.800E+00  9.637E+00  7.455E+00 -1.785E+00  3.978E-01  1.394E-03
95 1983 1 3 0 0 0   6.800E+00  9.258E+00  7.097E+00 -1.768E+00  3.937E-01  1.380E-03
96 1983 1 4 0 0 0   6.500E+00  9.004E+00  6.862E+00 -1.752E+00  3.899E-01  1.366E-03
97 1983 1 5 0 0 0   6.500E+00  8.747E+00  6.624E+00 -1.737E+00  3.861E-01  1.353E-03
98 1983 1 6 0 0 0   6.500E+00  8.520E+00  6.413E+00 -1.724E+00  3.833E-01  1.343E-03
99 1983 1 7 0 0 0   6.400E+00  8.320E+00  6.228E+00 -1.711E+00  3.808E-01  1.335E-03
100 1983 1 8 0 0 0   6.400E+00  8.154E+00  6.077E+00 -1.699E+00  3.785E-01  1.326E-03
101 1983 1 9 0 0 0   6.300E+00  7.970E+00  5.907E+00 -1.687E+00  3.763E-01  1.319E-03
102 1983 1 10 0 0 0   6.200E+00  7.818E+00  5.769E+00 -1.675E+00  3.744E-01  1.312E-03
103 1983 1 11 0 0 0   6.100E+00  7.680E+00  5.643E+00 -1.664E+00  3.726E-01  1.306E-03
104 1983 1 12 0 0 0   6.100E+00  7.553E+00  5.529E+00 -1.653E+00  3.707E-01  1.299E-03
105 1983 1 13 0 0 0   6.000E+00  7.435E+00  5.424E+00 -1.642E+00  3.692E-01  1.294E-03
106 1983 1 14 0 0 0   5.900E+00  7.327E+00  5.328E+00 -1.632E+00  3.678E-01  1.289E-03
107 1983 1 15 0 0 0   6.000E+00  7.232E+00  5.242E+00 -1.622E+00  3.679E-01  1.289E-03
108 1983 1 16 0 0 0   6.100E+00  7.950E+00  5.882E+00 -1.699E+00  3.695E-01  1.282E-03
109 1983 1 17 0 0 0   5.900E+00  7.472E+00  5.437E+00 -1.670E+00  3.641E-01  1.276E-03
110 1983 1 18 0 0 0   6.100E+00  8.261E+00  6.162E+00 -1.731E+00  3.675E-01  1.275E-03
111 1983 1 19 0 0 0   6.000E+00  7.787E+00  5.718E+00 -1.707E+00  3.621E-01  1.267E-03
112 1983 1 20 0 0 0   5.900E+00  7.534E+00  5.501E+00 -1.672E+00  3.603E-01  1.263E-03
113 1983 1 21 0 0 0   5.900E+00  7.361E+00  5.357E+00 -1.645E+00  3.591E-01  1.258E-03
114 1983 1 22 0 0 0   6.200E+00  1.122E+01  8.992E+00 -1.857E+00  3.714E-01  1.255E-03
115 1983 1 23 0 0 0   6.100E+00  8.665E+00  6.504E+00 -1.804E+00  3.570E-01  1.251E-03
116 1983 1 24 0 0 0   6.300E+00  6.446E+01  5.757E+01 -2.202E+00  4.686E+00  1.625E-02
117 1983 1 25 0 0 0   6.600E+00  1.115E+01  8.868E+00 -2.224E+00  5.269E-02  1.847E-04
118 1983 1 26 0 0 0   6.600E+00  1.081E+01  8.593E+00 -2.100E+00  1.129E-01  3.955E-04
119 1983 1 27 0 0 0   6.600E+00  1.736E+02  1.391E+02 -2.233E+00  3.234E+01  3.128E-02
120 1983 1 28 0 0 0   6.200E+00  1.275E+01  1.022E+01 -2.453E+00  7.368E-02  2.582E-04
121 1983 1 29 0 0 0   6.300E+00  1.182E+01  9.456E+00 -2.302E+00  6.469E-02  2.267E-04
122 1983 1 30 0 0 0   6.100E+00  1.207E+01  9.727E+00 -2.170E+00  1.768E-01  6.195E-04
123 1983 1 31 0 0 0   6.000E+00  1.163E+01  9.261E+00 -2.076E+00  2.921E-01  1.024E-03
124 1983 2 1 0 0 0   5.900E+00  1.144E+01  9.133E+00 -2.002E+00  3.034E-01  1.063E-03
125 1983 2 2 0 0 0   5.900E+00  1.101E+01  8.736E+00 -1.945E+00  3.329E-01  1.167E-03
126 1983 2 3 0 0 0   5.900E+00  1.081E+01  8.549E+00 -1.899E+00  3.603E-01  1.263E-03
127 1983 2 4 0 0 0   5.800E+00  1.047E+01  8.230E+00 -1.863E+00  3.742E-01  1.312E-03
128 1983 2 5 0 0 0   5.900E+00  1.001E+01  7.803E+00 -1.833E+00  3.759E-01  1.317E-03
129 1983 2 6 0 0 0   5.800E+00  9.770E+00  7.585E+00 -1.810E+00  3.744E-01  1.311E-03
130 1983 2 7 0 0 0   5.800E+00  1.487E+01  1.248E+01 -1.997E+00  3.871E-01  1.308E-03
131 1983 2 8 0 0 0   5.900E+00  3.244E+01  2.784E+01 -2.196E+00  2.404E+00  8.337E-03
132 1983 2 9 0 0 0   5.900E+00  1.336E+01  1.108E+01 -2.198E+00  7.899E-02  2.634E-04
133 1983 2 10 0 0 0   5.900E+00  1.541E+01  1.286E+01 -2.164E+00  3.797E-01  1.309E-03
134 1983 2 11 0 0 0   5.900E+00  1.384E+01  1.143E+01 -2.082E+00  3.306E-01  1.155E-03
